id,full_name,specialty,commercial_spend,research_spend,total_spend,primary_manufacturer,influence_ratio,log_total_spend,loyalty_score,mfg_loyalty_pct,cluster,segment_name
354231,Khaldoun Almhanna,Oncology,33384.45,1177690.12,1211074.57,"Trisalus Life Sciences, Inc.",0.9724340260897395,14.007019423560994,0.0276,2.7565973910260535,1,Scientific KOLs
127894,Matthew Budoff,Cardiology,572424.03,474468.5,1046892.53,Novo Nordisk Inc,0.453216052654421,13.861337794137427,0.5468,54.6783947345579,1,Scientific KOLs
333348,Joel Young,Neurology,74148.77,693380.76,767529.53,"Supernus Pharmaceuticals, Inc.",0.903392941767335,13.550933536153975,0.0966,9.6607058232665,1,Scientific KOLs
357387,Sibyl Wray,Neurology,23701.39,673193.05,696894.44,"Biogen, Inc.",0.9659899855134446,13.454390664142181,0.034,3.401001448655553,1,Scientific KOLs
357387,Sibyl Wray,Neurology,194.56,673193.05,673387.61,"Biogen, Inc.",0.9997110727950579,13.420077871399151,0.0003,0.028892720494218774,1,Scientific KOLs
2003686,Yucai Wang,Oncology,6221.34,594355.52,600576.86,Abbvie Inc.,0.9896410594307613,13.305647570715042,0.0104,1.0358940569238715,1,Scientific KOLs
2791629,Inhye Ahn,Oncology,5435.0,553151.32,558586.32,Eli Lilly And Company,0.9902700803700313,13.233166232629415,0.0097,0.9729919629968741,1,Scientific KOLs
196667,Erica Mayer,Oncology,16717.5,534088.94,550806.44,Astrazeneca Uk Limited,0.9696490476763489,13.219140553370682,0.0304,3.035095232365112,1,Scientific KOLs
196667,Erica Mayer,Oncology,9800.0,534088.94,543888.94,Astrazeneca Uk Limited,0.9819816155849759,13.20650218919293,0.018,1.8018384415024142,1,Scientific KOLs
127894,Matthew Budoff,Cardiology,1650.0,474468.5,476118.5,Novo Nordisk Inc,0.9965344761860755,13.073424152125842,0.0035,0.3465523813924475,1,Scientific KOLs
4098971,Praful Ravi,Oncology,1728.0,445222.09,446950.09,Bayer Healthcare Pharmaceuticals Inc.,0.9961337965051087,13.010204449264563,0.0039,0.3866203494891342,1,Scientific KOLs
1100186,Preet Singh,Oncology,964.41,444854.92,445819.33,Astrazeneca Pharmaceuticals Lp,0.9978367694375208,13.007671302303702,0.0022,0.21632305624791998,1,Scientific KOLs
4098971,Praful Ravi,Oncology,167.07,445222.09,445389.16,Bayer Healthcare Pharmaceuticals Inc.,0.9996248898379118,13.006705941060238,0.0004,0.03751101620883634,1,Scientific KOLs
236891,Leon Rosenberg,Neurology,249612.04,186377.67,435989.71,"Axsome Therapeutics, Inc.",0.42748180914636724,12.985376214764717,0.5725,57.25181908536327,1,Scientific KOLs
30790,David Burdette,Neurology,229239.45,177973.69,407213.14,"Ucb, Inc.",0.4370529153356888,12.917094468566438,0.5629,56.29470846643112,1,Scientific KOLs
280263,Margaret Block,Oncology,318.62,404045.0,404363.62,"Aimmune Therapeutics, Inc.",0.9992120458314228,12.910072274665183,0.0008,0.0787954168577282,1,Scientific KOLs
912658,Giselle Saulnier Sholler,Oncology,12854.67,304708.86,317563.53,"Uswm, Llc",0.959520950028487,12.668436320758088,0.0405,4.047904997151278,1,Scientific KOLs
31442,Jorge Castillo,Oncology,19071.39,246909.24,265980.63,"Beigene Usa, Inc.",0.9282978237926574,12.491182525228698,0.0717,7.1702176207342605,1,Scientific KOLs
1123900,Binod Dhakal,Oncology,133755.39,130671.09,264426.48,Pfizer Inc.,0.49416794414840753,12.485322314993153,0.5058,50.58320558515925,1,Scientific KOLs
804623,Christian Assad Kottner,Cardiology,306.28,261497.0,261803.28,Novo Nordisk Inc,0.9988301139695424,12.475352480681828,0.0012,0.11698860304576778,1,Scientific KOLs
1055985,Jamie Fernandez,Neurology,11528.96,228441.72,239970.68,"Axsome Therapeutics, Inc.",0.9519567973887477,12.38827619536158,0.048,4.804320261125234,1,Scientific KOLs
472061,Raymond Turner,Neurology,51907.51,181340.0,233247.51,"Lilly Usa, Llc",0.777457388505455,12.359859730693474,0.2225,22.2542611494545,1,Scientific KOLs
610399,Michael Wilkinson,Cardiology,40878.03,188284.29,229162.32,"Regeneron Healthcare Solutions, Inc.",0.8216197584314908,12.342190216111756,0.1784,17.838024156850913,1,Scientific KOLs
88704,Don Stevens,Oncology,125.0,225595.58,225720.58,"Beigene Usa, Inc.",0.9994462179744532,12.327057571881367,0.0006,0.05537820255468066,1,Scientific KOLs
916181,Saifullah Nasir,Cardiology,568.37,216733.0,217301.37,Novartis Pharmaceuticals Corporation,0.9973844159381048,12.28904507276581,0.0026,0.2615584061895238,1,Scientific KOLs
247575,Christie Ballantyne,Cardiology,92446.75,122897.75,215344.5,Eli Lilly And Company,0.5707029898604329,12.279998994048464,0.4293,42.92970101395671,1,Scientific KOLs
145387,Atish Choudhury,Oncology,16499.32,197631.69,214131.01,Astellas Pharma Us Inc,0.9229475450566454,12.274347972977296,0.0771,7.705245494335454,1,Scientific KOLs
145387,Atish Choudhury,Oncology,6479.15,197631.69,204110.84,Astellas Pharma Us Inc,0.9682567079729818,12.226423357894406,0.0317,3.174329202701826,1,Scientific KOLs
318646,Mark Goldstein,Neurology,446.98,203285.0,203731.98,"Lilly Usa, Llc",0.9978060390911627,12.22456549387164,0.0022,0.21939609088371892,1,Scientific KOLs
1381972,Jeffrey Noebels,Neurology,4528.05,198500.0,203028.05,Eli Lilly And Company,0.9776974166870046,12.221104351233878,0.0223,2.230258331299542,1,Scientific KOLs
114831,Dinesh Singal,Cardiology,245.55,187471.03,187716.58,Novartis Pharmaceuticals Corporation,0.9986919109649239,12.142693878284664,0.0013,0.13080890350761773,1,Scientific KOLs
2790265,Carlos Escasena,Neurology,6297.57,180990.0,187287.57,Abbvie Inc.,0.9663748640659922,12.14040586147664,0.0336,3.362513593400779,1,Scientific KOLs
86422,Jack Florin,Neurology,561.59,186249.2,186810.79,"Ani Pharmaceuticals, Inc.",0.9969938031952009,12.137856918416864,0.003,0.30061968047991233,1,Scientific KOLs
1042984,Christopher Wenger,Cardiology,9304.55,174732.9,184037.45,Novartis Pharmaceuticals Corporation,0.9494420836628631,12.122899982151782,0.0506,5.055791633713681,1,Scientific KOLs
1064789,Panagiotis Konstantinopoulos,Oncology,4930.0,177187.95,182117.95,Astrazeneca Pharmaceuticals Lp,0.9729296315931516,12.112415324002711,0.0271,2.7070368406848417,1,Scientific KOLs
1064789,Panagiotis Konstantinopoulos,Oncology,1500.0,177187.95,178687.95,Astrazeneca Pharmaceuticals Lp,0.9916054775937605,12.093401863757173,0.0084,0.839452240623948,1,Scientific KOLs
